Naive Bayes,Nearest Neighbors
0.65,0.9
0.85,0.9
0.45,0.95
0.45,0.85
0.6,0.85
0.8,0.75
0.65,0.95
0.55,0.95
0.6666666666666666,0.8888888888888888
0.7222222222222222,1.0
0.7222222222222222,0.8888888888888888
0.7777777777777778,0.7777777777777778
0.7222222222222222,1.0
0.8888888888888888,0.9444444444444444
0.6666666666666666,0.9444444444444444
0.5555555555555556,0.7777777777777778
0.5555555555555556,0.8888888888888888
0.7777777777777778,0.8888888888888888
0.4444444444444444,0.9444444444444444
0.7222222222222222,0.8333333333333334
0.7777777777777778,0.9444444444444444
0.6111111111111112,0.8333333333333334
0.7222222222222222,0.8888888888888888
0.6111111111111112,0.8888888888888888
0.5,0.8888888888888888
0.6666666666666666,0.9444444444444444
0.7222222222222222,0.8333333333333334
0.8333333333333334,0.9444444444444444
0.5,0.8333333333333334
0.8333333333333334,0.8888888888888888
