Naive Bayes,Nearest Neighbors
0.5555555555555556,0.7777777777777778
0.4444444444444444,0.5
0.7222222222222222,0.6666666666666666
0.5555555555555556,0.5555555555555556
0.5555555555555556,0.6666666666666666
0.7058823529411765,0.5882352941176471
0.5294117647058824,0.5294117647058824
0.5294117647058824,0.5882352941176471
0.5882352941176471,0.5882352941176471
0.5294117647058824,0.5882352941176471
0.29411764705882354,0.6470588235294118
0.47058823529411764,0.47058823529411764
0.6470588235294118,0.7647058823529411
0.5882352941176471,0.6470588235294118
0.5294117647058824,0.7058823529411765
0.7058823529411765,0.7058823529411765
0.5882352941176471,0.7058823529411765
0.5882352941176471,0.7058823529411765
0.5882352941176471,0.5294117647058824
0.47058823529411764,0.7647058823529411
