Decision Tree,Naive Bayes,Linear SVM,Neural Net,RBF SVM,Random Forest,Nearest Neighbors
0.64,0.7,0.76,0.74,0.7,0.68,0.7
0.78,0.74,0.74,0.76,0.7,0.66,0.68
0.72,0.68,0.66,0.76,0.7,0.68,0.68
0.72,0.76,0.8,0.78,0.7,0.72,0.64
0.74,0.74,0.76,0.78,0.7,0.7,0.7
0.78,0.68,0.78,0.8,0.7,0.72,0.64
0.78,0.78,0.84,0.78,0.7,0.7,0.64
0.76,0.72,0.72,0.76,0.7,0.7,0.74
0.76,0.7,0.76,0.76,0.7,0.72,0.72
0.7,0.66,0.74,0.78,0.7,0.72,0.72
0.7,0.72,0.72,0.76,0.7,0.7,0.68
0.68,0.8,0.74,0.74,0.7,0.68,0.58
0.8,0.76,0.82,0.82,0.7,0.72,0.72
0.66,0.62,0.74,0.7,0.68,0.66,0.66
0.58,0.74,0.72,0.74,0.7,0.7,0.7
0.74,0.7,0.78,0.78,0.7,0.7,0.78
0.78,0.86,0.8,0.82,0.7,0.7,0.68
0.84,0.7,0.76,0.8,0.7,0.7,0.74
0.66,0.76,0.78,0.72,0.7,0.66,0.76
0.7,0.78,0.76,0.8,0.7,0.7,0.62
