Decision Tree,Naive Bayes,Neural Net,RBF SVM,Random Forest,Nearest Neighbors
0.68,0.6,0.68,0.7,0.68,0.68
0.66,0.72,0.74,0.68,0.68,0.76
0.66,0.6,0.72,0.7,0.7,0.66
0.68,0.74,0.8,0.7,0.7,0.66
0.74,0.68,0.76,0.7,0.7,0.7
0.66,0.72,0.74,0.7,0.7,0.72
0.76,0.74,0.72,0.7,0.68,0.74
0.8,0.86,0.86,0.7,0.7,0.7
0.84,0.74,0.8,0.7,0.72,0.74
0.74,0.68,0.74,0.7,0.7,0.74
0.7,0.74,0.78,0.7,0.7,0.68
0.72,0.68,0.62,0.7,0.66,0.62
0.84,0.8,0.84,0.7,0.72,0.72
0.78,0.74,0.76,0.7,0.76,0.64
0.78,0.68,0.8,0.7,0.7,0.7
0.68,0.84,0.78,0.7,0.7,0.64
0.8,0.74,0.76,0.7,0.68,0.66
0.76,0.84,0.78,0.7,0.7,0.66
0.78,0.64,0.74,0.7,0.7,0.68
0.64,0.72,0.76,0.7,0.72,0.7
