Decision Tree,Naive Bayes,Linear SVM,Neural Net,RBF SVM,Random Forest,Nearest Neighbors
0.74,0.58,0.74,0.76,0.7,0.72,0.62
0.8,0.78,0.84,0.88,0.7,0.74,0.76
0.68,0.74,0.74,0.7,0.7,0.7,0.72
0.74,0.74,0.76,0.78,0.7,0.68,0.68
0.66,0.74,0.76,0.78,0.7,0.72,0.7
0.68,0.64,0.7,0.72,0.7,0.68,0.68
0.82,0.8,0.8,0.86,0.7,0.72,0.66
0.74,0.72,0.78,0.78,0.7,0.72,0.62
0.72,0.76,0.72,0.68,0.7,0.72,0.76
0.66,0.8,0.78,0.76,0.7,0.74,0.7
0.66,0.72,0.7,0.72,0.7,0.74,0.68
0.72,0.7,0.8,0.82,0.7,0.7,0.74
0.8,0.7,0.78,0.76,0.7,0.74,0.68
0.7,0.76,0.76,0.82,0.7,0.7,0.66
0.8,0.74,0.78,0.82,0.7,0.72,0.64
0.68,0.74,0.72,0.72,0.7,0.7,0.66
0.76,0.72,0.72,0.74,0.68,0.72,0.6
0.72,0.82,0.76,0.78,0.7,0.7,0.64
0.66,0.62,0.74,0.72,0.7,0.72,0.68
0.7,0.66,0.76,0.8,0.7,0.76,0.72
