Nearest Neighbors,RBF SVM,Decision Tree,Random Forest,Neural Net,Naive Bayes,Linear SVM
0.8421052631578947,0.42105263157894735,0.9473684210526315,0.9473684210526315,0.42105263157894735,0.9473684210526315,0.9473684210526315
0.6111111111111112,0.3888888888888889,0.8888888888888888,1.0,0.3888888888888889,0.9444444444444444,0.8888888888888888
0.7222222222222222,0.3888888888888889,0.8888888888888888,0.9444444444444444,0.3888888888888889,1.0,1.0
0.8333333333333334,0.3888888888888889,0.9444444444444444,1.0,0.3888888888888889,1.0,1.0
0.6666666666666666,0.3888888888888889,0.8888888888888888,0.9444444444444444,0.3888888888888889,0.9444444444444444,0.9444444444444444
0.6666666666666666,0.3888888888888889,0.8888888888888888,1.0,0.3888888888888889,1.0,0.9444444444444444
0.7222222222222222,0.3888888888888889,0.9444444444444444,1.0,0.3888888888888889,1.0,1.0
0.6666666666666666,0.3888888888888889,0.8888888888888888,1.0,0.3888888888888889,1.0,1.0
0.5882352941176471,0.4117647058823529,0.9411764705882353,1.0,0.4117647058823529,0.9411764705882353,1.0
0.6875,0.4375,0.9375,1.0,0.4375,1.0,1.0
