Decision Tree,Naive Bayes,Linear SVM,Neural Net,RBF SVM,Random Forest,Nearest Neighbors
0.7727272727272727,0.6818181818181818,0.8181818181818182,0.8636363636363636,0.8181818181818182,0.8181818181818182,0.7727272727272727
0.7142857142857143,0.7619047619047619,0.5238095238095238,0.8095238095238095,0.9523809523809523,0.8095238095238095,0.8571428571428571
0.7142857142857143,0.6190476190476191,0.47619047619047616,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.6666666666666666
0.6666666666666666,0.8571428571428571,0.5238095238095238,0.8095238095238095,0.9523809523809523,0.8571428571428571,0.8571428571428571
0.6666666666666666,0.7142857142857143,0.5714285714285714,0.7619047619047619,0.8095238095238095,0.7142857142857143,0.8571428571428571
0.6190476190476191,0.5238095238095238,0.5238095238095238,0.7619047619047619,0.9047619047619048,0.7142857142857143,0.9047619047619048
0.7619047619047619,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.6666666666666666
0.75,0.65,0.8,0.85,0.95,0.8,0.8
0.8,0.65,0.55,0.8,0.95,0.7,0.9
0.65,0.65,0.65,0.75,0.7,0.65,0.75
