Naive Bayes,Nearest Neighbors
0.6,0.95
0.7,0.85
0.6,0.9
0.85,0.95
0.75,0.95
0.55,1.0
0.45,0.8
0.7,0.9
0.5,0.7777777777777778
0.6666666666666666,1.0
0.3888888888888889,0.9444444444444444
0.7222222222222222,1.0
0.7777777777777778,1.0
0.8888888888888888,0.8888888888888888
0.7777777777777778,0.7222222222222222
0.7777777777777778,0.7222222222222222
0.5,0.5
0.6111111111111112,0.6111111111111112
0.5555555555555556,0.6666666666666666
0.6666666666666666,0.6666666666666666
0.5555555555555556,0.6666666666666666
0.8888888888888888,1.0
0.7777777777777778,0.9444444444444444
0.8888888888888888,0.9444444444444444
0.7777777777777778,1.0
0.6666666666666666,0.8333333333333334
0.5,0.7777777777777778
0.6111111111111112,0.7777777777777778
0.5,1.0
0.6111111111111112,1.0
