Decision Tree,Naive Bayes,Linear SVM,Neural Net,RBF SVM,Random Forest,Nearest Neighbors
0.7777777777777778,0.6419753086419753,0.5308641975308642,0.4074074074074074,0.7160493827160493,0.7654320987654321,0.654320987654321
0.7088607594936709,0.7468354430379747,0.45569620253164556,0.4050632911392405,0.759493670886076,0.7088607594936709,0.5949367088607594
0.7777777777777778,0.6666666666666666,0.4567901234567901,0.4074074074074074,0.8024691358024691,0.7283950617283951,0.654320987654321
0.759493670886076,0.6455696202531646,0.4936708860759494,0.4050632911392405,0.759493670886076,0.620253164556962,0.620253164556962
0.7530864197530864,0.6790123456790124,0.4444444444444444,0.4074074074074074,0.7407407407407407,0.6666666666666666,0.5555555555555556
0.7088607594936709,0.6708860759493671,0.4810126582278481,0.4050632911392405,0.7974683544303798,0.6708860759493671,0.6455696202531646
0.6666666666666666,0.654320987654321,0.49382716049382713,0.4074074074074074,0.6790123456790124,0.6172839506172839,0.6172839506172839
0.7468354430379747,0.6075949367088608,0.4810126582278481,0.4050632911392405,0.7215189873417721,0.6962025316455697,0.569620253164557
0.7160493827160493,0.7037037037037037,0.48148148148148145,0.3950617283950617,0.7777777777777778,0.7283950617283951,0.6049382716049383
0.7721518987341772,0.6708860759493671,0.569620253164557,0.4050632911392405,0.7974683544303798,0.7088607594936709,0.5443037974683544
